Data; Strefa; Wartość kWh;Rodzaj;
2025-07-11 18:00;T1;1,808;oddana po zbilansowaniu;
2025-07-11 19:00;T1;0,410;oddana po zbilansowaniu;
2025-07-11 20:00;T1;0,204;oddana po zbilansowaniu;
2025-07-11 21:00;T1;0,010;oddana po zbilansowaniu;
2025-07-11 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 6:00;T1;0,002;oddana po zbilansowaniu;
2025-07-12 7:00;T1;0,001;oddana po zbilansowaniu;
2025-07-12 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 9:00;T1;0,001;oddana po zbilansowaniu;
2025-07-12 10:00;T1;0,389;oddana po zbilansowaniu;
2025-07-12 11:00;T1;1,569;oddana po zbilansowaniu;
2025-07-12 12:00;T1;1,443;oddana po zbilansowaniu;
2025-07-12 13:00;T1;0,934;oddana po zbilansowaniu;
2025-07-12 14:00;T1;1,950;oddana po zbilansowaniu;
2025-07-12 15:00;T1;1,252;oddana po zbilansowaniu;
2025-07-12 16:00;T1;1,626;oddana po zbilansowaniu;
2025-07-12 17:00;T1;1,410;oddana po zbilansowaniu;
2025-07-12 18:00;T1;0,162;oddana po zbilansowaniu;
2025-07-12 19:00;T1;0,757;oddana po zbilansowaniu;
2025-07-12 20:00;T1;0,057;oddana po zbilansowaniu;
2025-07-12 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-12 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 2:00;T1;0,001;oddana po zbilansowaniu;
2025-07-13 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 6:00;T1;0,001;oddana po zbilansowaniu;
2025-07-13 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 9:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 10:00;T1;0,002;oddana po zbilansowaniu;
2025-07-13 11:00;T1;1,052;oddana po zbilansowaniu;
2025-07-13 12:00;T1;2,835;oddana po zbilansowaniu;
2025-07-13 13:00;T1;2,045;oddana po zbilansowaniu;
2025-07-13 14:00;T1;0,952;oddana po zbilansowaniu;
2025-07-13 15:00;T1;0,640;oddana po zbilansowaniu;
2025-07-13 16:00;T1;0,631;oddana po zbilansowaniu;
2025-07-13 17:00;T1;1,565;oddana po zbilansowaniu;
